SHIP'S NAME,COUNTRY,DWT,LBP,B,D,d,Air_d,Vs,L/B,L/D,B/D,B/d,L/d,d/D,Fn
Tian Long Zuo,China,75500,217,32.25999832,21,12.5,8.5,8.024640195,6.726596755,10.33333333,1.536190396,2.580799866,17.36,0.595238095,0.173924674
Feng Huang Zuo,China,75500,217,32.25999832,21,12.5,8.5,8.024640195,6.726596755,10.33333333,1.536190396,2.580799866,17.36,0.595238095,0.173924674
Aris,Greece,37000,176,27.29999924,17.20000076,11.30000019,5.90000057,7.870320098,6.446886626,10.23255769,1.587209188,2.415929096,15.57522098,0.656976726,0.189409413
BRO Deliverer,Sweden,14500,134.3999939,22,11.80000019,8,3.80000019,6.6872,6.109090632,11.38982981,1.86440675,2.75,16.79999924,0.677966091,0.184166309
BRO Designer,Sweden,14500,134.3999939,22,11.80000019,8,3.80000019,6.6872,6.109090632,11.38982981,1.86440675,2.75,16.79999924,0.677966091,0.184166309
Jinling 03-0509,Sweden,14500,134.3999939,22,11.80000019,8,3.80000019,6.6872,6.109090632,11.38982981,1.86440675,2.75,16.79999924,0.677966091,0.184166309
Hyundai Mipo 0322,Turkey,47000,174,32.20000076,18,12.5,5.5,7.4588,5.403726581,9.666666667,1.788888931,2.576000061,13.92,0.694444444,0.180534345
Avax,Greece,47000,174,32.20000076,18,12.5,5.5,7.4588,5.403726581,9.666666667,1.788888931,2.576000061,13.92,0.694444444,0.180534345
Atlantis Acra,Isle of Man,3502,86.65000153,14.10000038,7.199999809,5.599999905,1.599999904,6.9444,6.145390014,12.03472275,1.958333438,2.517857253,15.47321482,0.777777785,0.238185839
New Century 0307321,Honduras,73400,219.6999969,32.25999832,20.79999924,12.19999981,8.59999943,7.716,6.810291641,10.56250024,1.550961514,2.644262199,18.00819675,0.586538474,0.166204466
Ibri Lng,Panama,71000,277,49,27,11.39999962,15.60000038,10.0308,5.653061224,10.25925926,1.814814815,4.298245757,24.29824642,0.422222208,0.192424862
Berge Nantong,Hong Kong,50700,215,36.59999847,22,12.55000019,9.44999981,8.641919609,5.874317185,9.772727273,1.663636294,2.916334495,17.13147384,0.570454554,0.188172644
Stx Chinhae 1190,Greece,50930,173.8999939,32.20000076,19.10000038,11,8.10000038,7.4588,5.400620801,9.104711541,1.685863881,2.927272796,15.80909035,0.575916219,0.180586248
Stx Chinhae 1191,Greece,50930,173.8999939,32.20000076,19.10000038,11,8.10000038,7.4588,5.400620801,9.104711541,1.685863881,2.927272796,15.80909035,0.575916219,0.180586248
West Point,Italy,50930,173.8999939,32.20000076,19.10000038,11,8.10000038,7.4588,5.400620801,9.104711541,1.685863881,2.927272796,15.80909035,0.575916219,0.180586248
Lmz Nafsika,Cyprus,69180,219,32.20000076,19.79999924,13.60000038,6.19999886,7.613120098,6.801242075,11.06060649,1.626262727,2.367647049,16.10294073,0.686868732,0.16425028
Granosa,Bermuda,76500,274.3999939,43.40000153,26,12.30000019,13.69999981,10.0308,6.322580282,10.55384592,1.669230828,3.528455354,22.30894225,0.47307693,0.193334348
Simaisma,Liberia,76500,274.3999939,43.40000153,26,12.30000019,13.69999981,9.825040195,6.322580282,10.55384592,1.669230828,3.528455354,22.30894225,0.47307693,0.189368519
Shannon Fisher,Bermuda,5000,81.12000275,17,8.949999809,6.300000191,2.649999618,6.275679902,4.771764868,9.063687652,1.899441381,2.698412617,12.87619052,0.703910651,0.222465311
Bergen Star,Norway,4200,81.5,16.5,8.050000191,6.199999809,1.850000382,6.841520098,4.939393939,10.12422336,2.049689392,2.661290405,13.1451617,0.770186293,0.241957617
Kungsvik,Sweden,8300,115.6999969,18,10.85000038,7.599999905,3.250000475,7.716,6.427777606,10.66359381,1.658986117,2.368421082,15.22368399,0.700460796,0.229029298
Seri Anggun,Malaysia,67800,266,43.40000153,26,12.39999962,13.60000038,10.5966402,6.129032042,10.23076923,1.669230828,3.500000231,21.45161356,0.476923062,0.207440173
Seri Angkasa,Malaysia,67800,266,43.40000153,26,12.39999962,13.60000038,10.5966402,6.129032042,10.23076923,1.669230828,3.500000231,21.45161356,0.476923062,0.207440173
Samsung 1600,Belgium,157700,264,48,23.60000038,17.04999924,6.55000114,7.818879902,5.5,11.1864405,2.033898272,2.815249392,15.48387166,0.722457583,0.153641336
Samsung 1581,Belgium,157700,264,48,23.60000038,17.04999924,6.55000114,7.818879902,5.5,11.1864405,2.033898272,2.815249392,15.48387166,0.722457583,0.153641336
Samsung 1582,Belgium,157700,264,48,23.60000038,17.04999924,6.55000114,7.818879902,5.5,11.1864405,2.033898272,2.815249392,15.48387166,0.722457583,0.153641336
Samsung 1562,Denmark,71500,266,42.59999847,26,11.30000019,14.69999981,10.5966402,6.24413168,10.23076923,1.63846148,3.769911306,23.53982261,0.434615392,0.207440173
Sumitomo 1323,Liberia,105400,229,42,21.29999924,14.80000019,6.49999905,7.664559805,5.452380952,10.75117409,1.971831056,2.837837801,15.47297277,0.694835714,0.161709291
Volharding 584,Netherlands,14000,135,22.92000008,11.80000019,7.5,4.30000019,7.2016,5.890052335,11.44067778,1.942372857,3.056000011,18,0.63559321,0.197891713
Volharding 585,Netherlands,14000,135,22.92000008,11.80000019,7.5,4.30000019,7.2016,5.890052335,11.44067778,1.942372857,3.056000011,18,0.63559321,0.197891713
Vedrey Tora,Sweden,4550,75,16,7.800000191,6.5,1.300000191,5.9156,4.6875,9.61538438,2.051282001,2.461538462,11.53846154,0.833333313,0.218088952
Vedrey Thor,Sweden,4550,75,16,7.800000191,6.5,1.300000191,5.9156,4.6875,9.61538438,2.051282001,2.461538462,11.53846154,0.833333313,0.218088952
Shin-A 467,Liberia,40000,168,31,17.20000076,11.10000038,6.10000038,7.716,5.419354839,9.767441429,1.802325502,2.792792697,15.13513462,0.645348831,0.190065405
Shin-A 468,Liberia,40000,168,31,17.20000076,11.10000038,6.10000038,7.716,5.419354839,9.767441429,1.802325502,2.792792697,15.13513462,0.645348831,0.190065405
Altarf Star,Saudi Arabia,49000,191,32.20000076,18,13,5,7.407359805,5.931676879,10.61111111,1.788888931,2.476923135,14.69230769,0.722222222,0.171124524
Aliakmon,Liberia,61000,206.5599976,32.25999832,18.5,12.26000023,6.23999977,7.613120098,6.402976081,11.16540528,1.743783693,2.631321184,16.8482866,0.662702715,0.169123932
Sumitomo 1325,Panama,105400,229,42,21.29999924,14.80000019,6.49999905,7.664559805,5.452380952,10.75117409,1.971831056,2.837837801,15.47297277,0.694835714,0.161709291
Sumitomo 1326,Panama,105400,229,42,21.29999924,14.80000019,6.49999905,7.664559805,5.452380952,10.75117409,1.971831056,2.837837801,15.47297277,0.694835714,0.161709291
Dalian Pc760-1,Singapore,75500,219,32.25999832,21.20000076,12.5,8.70000076,7.921759805,6.788593038,10.33018831,1.521697979,2.580799866,17.52,0.58962262,0.170909069
Zaurak Star,Saudi Arabia,49000,191,32.20000076,18,13,5,7.407359805,5.931676879,10.61111111,1.788888931,2.476923135,14.69230769,0.722222222,0.171124524
Camberley,Liberia,22800,165,28,17.79999924,10.39999962,7.39999962,8.590480391,5.892857143,9.269663317,1.573033775,2.692307791,15.8653852,0.584269667,0.213521187
Penelop,Bahamas,114500,242,44,21,14.80000019,6.19999981,7.664559805,5.5,11.52380952,2.095238095,2.972972935,16.35135114,0.704761914,0.157305907
Brodosplit 448,Bermuda,74999,220,32.24000168,20.45000076,14.35000038,6.10000038,8.2304,6.823820984,10.75794581,1.576528141,2.246689953,15.33101005,0.701711484,0.177163846
Baltic Faith,Cyprus,37340,175,27.34000015,16.70000076,11.19999981,5.50000095,7.4588,6.4008778,10.47904144,1.637125683,2.441071483,15.62500027,0.670658641,0.180017793
Assos,Marshall Islands,47000,174,32.20000076,18,12.5,5.5,7.4588,5.403726581,9.666666667,1.788888931,2.576000061,13.92,0.694444444,0.180534345
Crescent Barbera,United Kingdom,3500,85.30000305,14.60000038,7.599999905,5.400000095,2.19999981,5.967040195,5.84246581,11.22368475,1.921052706,2.703703727,15.79629658,0.710526337,0.206276587
Crescent Brunello,United Kingdom,3500,85.30000305,14.60000038,7.599999905,5.400000095,2.19999981,5.967040195,5.84246581,11.22368475,1.921052706,2.703703727,15.79629658,0.710526337,0.206276587
Nantong Cosco Khi,Sweden,298500,320,60,29.29999924,20.85000038,8.44999886,7.9732,5.333333333,10.92150199,2.047781623,2.877697789,15.34772154,0.711604127,0.142305985
IHI Marine United Kure 3199,Japan,300500,319,60,29.5,21.39999962,8.10000038,8.2304,5.316666667,10.81355932,2.033898305,2.803738368,14.90654232,0.725423716,0.147126566
Oriental Rose,Panama,14200,125,20.52300072,11.60000038,8.800000191,2.800000189,7.150159805,6.090727263,10.77586172,1.769224142,2.332159122,14.20454515,0.758620681,0.20418613
Panam Golfito,Singapore,14200,125,20.5,11.60000038,8.800000191,2.800000189,7.150159805,6.097560976,10.77586172,1.767241321,2.329545404,14.20454515,0.758620681,0.20418613
Asakawa 557,Panama,14200,125,20.5,11.60000038,8.800000191,2.800000189,7.150159805,6.097560976,10.77586172,1.767241321,2.329545404,14.20454515,0.758620681,0.20418613
Majorque,France,3300,76.30000305,14.25,6.599999905,5,1.599999905,6.1728,5.354386179,11.56060669,2.15909094,2.85,15.26000061,0.757575768,0.225624068
Shin Kurushima Akitsu 5337,Japan,19305,141,24.20000076,12.89999962,9,3.89999962,7.716,5.826446098,10.93023288,1.875969106,2.688888973,15.66666667,0.697674439,0.207466585
Daewoo 2311,Saudi Arabia,29000,172,29.20000076,18.20000076,10.19999981,8.00000095,8.436159805,5.890410806,9.450549056,1.604395579,2.862745226,16.86274541,0.560439527,0.205374288
Sun Princess,Panama,3300,83.30000305,14,6.5,5.550000191,0.949999809,6.43,5.950000218,12.81538508,2.153846154,2.522522436,15.00900904,0.853846183,0.224933407
Emirates Swan,Panama,8500,111,18.79999924,9.699999809,7.199999809,2.5,7.2016,5.904255558,11.44329919,1.93814429,2.611111075,15.41666708,0.742268036,0.218239321
Sasaki 656,Panama,4999,93.5,17.20000076,7.800000191,6.050000191,1.75,6.892959805,5.436046271,11.98717919,2.205128249,2.842975242,15.45454497,0.775641031,0.227596425
Stx Chinhae 2014,Russia,47000,173.8999939,32.20000076,19.10000038,11,8.10000038,8.2304,5.400620801,9.104711541,1.685863881,2.927272796,15.80909035,0.575916219,0.199267584
Ice Fighter,Panama,70300,218,32.20000076,19.60000038,13.69999981,5.90000057,8.178959805,6.770186176,11.12244876,1.64285715,2.350365052,15.91240898,0.698979569,0.176862322
Chantaco,France,19000,135.8000031,23,11.80000019,8.899999619,2.900000571,7.716,5.904347961,11.50847465,1.949152511,2.584269774,15.25842797,0.754237244,0.211401384
Chiberta,France,19000,135.8000031,23,11.80000019,8.899999619,2.900000571,7.716,5.904347961,11.50847465,1.949152511,2.584269774,15.25842797,0.754237244,0.211401384
Susanne Theresa,Denmark,3500,86.65000153,14.10000038,7.199999809,5.599999905,1.599999904,6.6872,6.145390014,12.03472275,1.958333438,2.517857253,15.47321482,0.777777785,0.229364141
Yardimci 47,Denmark,10048,112,19,10.10000038,8.220000267,1.880000113,7.4588,5.894736842,11.08910849,1.881188048,2.311435448,13.62530369,0.813861382,0.225022242
Stena Polaris,Sweden,74999,220,32.24000168,20.45000076,14.35000038,6.10000038,8.2304,6.823820984,10.75794581,1.576528141,2.246689953,15.33101005,0.701711484,0.177163846
Gulf Esprit,Bahamas,47000,174,32.20000076,18,12.5,5.5,7.613120098,5.403726581,9.666666667,1.788888931,2.576000061,13.92,0.694444444,0.184269541
Summit Europe,Cyprus,74999,218,32.20000076,20.64999962,14.35000038,6.29999924,8.2304,6.770186176,10.55690092,1.559322099,2.243902433,15.19163723,0.694915285,0.177974668
Summit America,Cyprus,74999,218,32.20000076,20.64999962,14.35000038,6.29999924,8.2304,6.770186176,10.55690092,1.559322099,2.243902433,15.19163723,0.694915285,0.177974668
Oraholm,Denmark,4500,100.6999969,15.60000038,7.800000191,5.900000095,1.900000096,7.716,6.455127849,12.9102557,2,2.644067818,17.06779581,0.75641025,0.24549519
Desan 14,Denmark,4500,100.6999969,15.60000038,7.800000191,5.900000095,1.900000096,7.716,6.455127849,12.9102557,2,2.644067818,17.06779581,0.75641025,0.24549519
Orasila,Denmark,1700,72.25,13.39999962,8.350000381,4.5,3.850000381,7.2016,5.391791198,8.652694216,1.6047903,2.977777693,16.05555556,0.538922131,0.270505168
Ampelos,Liberia,105400,217.8000031,42,21.5,14.80000019,6.69999981,7.613120098,5.18571436,10.1302327,1.953488372,2.837837801,14.71621624,0.688372102,0.164702138
Mitsui Chiba 1667,Singapore,110700,234,42,21.5,14.97999954,6.52000046,7.870320098,5.571428571,10.88372093,1.953488372,2.803738404,15.62082825,0.696744165,0.164266863
Guangzhou 04130009,Liberia,38500,174.5,27.42000008,16.79999924,11.61699963,5.18299961,7.304479902,6.363967888,10.38690523,1.632142936,2.360334075,15.02109026,0.691488104,0.176545674
Sichem Pace,Panama,19900,137,23.70000076,13.35000038,9.715000153,3.635000227,7.510240195,5.780590532,10.26217199,1.775280905,2.439526545,14.10190405,0.727715347,0.204860883
Orania,Panama,19900,137,23.70000076,13.35000038,9.715000153,3.635000227,7.355920098,5.780590532,10.26217199,1.775280905,2.439526545,14.10190405,0.727715347,0.20065141
Ophelia,Panama,19900,137,23.70000076,13.35000038,9.715000153,3.635000227,7.355920098,5.780590532,10.26217199,1.775280905,2.439526545,14.10190405,0.727715347,0.20065141
Usuki 1698,Liberia,19900,137,23.70000076,13.35000038,9.715000153,3.635000227,7.561679902,5.780590532,10.26217199,1.775280905,2.439526545,14.10190405,0.727715347,0.206264031
Usuki 1700,Singapore,19900,137,23.70000076,13.35000038,9.715000153,3.635000227,7.510240195,5.780590532,10.26217199,1.775280905,2.439526545,14.10190405,0.727715347,0.204860883
Usuki 1701,Singapore,19900,137,23.70000076,13.35000038,9.715000153,3.635000227,7.510240195,5.780590532,10.26217199,1.775280905,2.439526545,14.10190405,0.727715347,0.204860883
Brigit Maersk,Denmark,29000,167,29.20000076,13.85000038,9.5,4.35000038,7.4588,5.719177933,12.0577614,2.108303246,3.073684291,17.57894737,0.685920559,0.18427916
Guangzhou 03130012,Denmark,29000,167,29.20000076,13.85000038,9.5,4.35000038,7.4588,5.719177933,12.0577614,2.108303246,3.073684291,17.57894737,0.685920559,0.18427916
Qiuxin H2351,Norway,16600,133.8000031,23,12.39999962,8.899999619,3.500000001,7.2016,5.817391439,10.79032316,1.854838767,2.584269774,15.03370886,0.717741927,0.198777137
Olina,Germany,3600,79.5,12.89999962,7.449999809,5.650000095,1.799999714,5.6584,6.162790879,10.67114121,1.731543618,2.283185735,14.07079622,0.758389294,0.202616858
Volharding 620,Germany,3600,79.5,12.89999962,7.449999809,5.650000095,1.799999714,5.6584,6.162790879,10.67114121,1.731543618,2.283185735,14.07079622,0.758389294,0.202616858
Jurong Sml 0884,Kuwait,4950,83.5,19,8.199999809,6,2.199999809,6.1728,4.394736842,10.18292707,2.317073225,3.166666667,13.91666667,0.731707334,0.215677313
Jurong Sml 0885,Kuwait,4950,83.5,19,8.199999809,6,2.199999809,6.1728,4.394736842,10.18292707,2.317073225,3.166666667,13.91666667,0.731707334,0.215677313
Dubai Drydocks Nb41,United Arab Emirates,6200,96.06999969,18,8.800000191,5.949999809,2.850000382,4.1152,5.337222205,10.91704518,2.045454501,3.025210181,16.14621895,0.676136327,0.134048682
Dubai Drydocks Nb42,United Arab Emirates,6200,96.06999969,18,8.800000191,5.949999809,2.850000382,4.1152,5.337222205,10.91704518,2.045454501,3.025210181,16.14621895,0.676136327,0.134048682
Dubai Drydocks Nb43,United Arab Emirates,6200,96.06999969,18,8.800000191,5.949999809,2.850000382,4.1152,5.337222205,10.91704518,2.045454501,3.025210181,16.14621895,0.676136327,0.134048682
Dubai Drydocks Nb44,United Arab Emirates,6200,96.06999969,18,8.800000191,5.949999809,2.850000382,4.1152,5.337222205,10.91704518,2.045454501,3.025210181,16.14621895,0.676136327,0.134048682
Naikai Innoshima 712,Singapore,3980,88.30000305,16.5,7.25,5.599999905,1.650000095,6.532879902,5.351515336,12.17931077,2.275862069,2.946428621,15.76785795,0.77241378,0.221967715
Azalea Galaxy,Panama,19999,141,24.39999962,12.80000019,9.5,3.30000019,7.561679902,5.778688615,11.01562484,1.906249942,2.568421013,14.84210526,0.742187489,0.203317251
Azuma Maru No. 11,Japan,4960,98,16,8.25,6.300000191,1.949999809,7.355920098,6.125,11.87878788,1.939393939,2.539682463,15.55555508,0.763636387,0.237240845
Holly Galaxy,Panama,19983,136,24.20000076,12.89999962,9.666000366,3.233999254,7.561679902,5.619834534,10.54263597,1.875969106,2.503620923,14.06993532,0.749302376,0.207020966
Stx Ace 1,Panama,45800,173.8999939,32.20000076,19.10000038,11,8.10000038,7.561679902,5.400620801,9.104711541,1.685863881,2.927272796,15.80909035,0.575916219,0.183077091
Stx Ace 2,Korea (South),45800,173.8999939,32.20000076,19.10000038,11,8.10000038,7.561679902,5.400620801,9.104711541,1.685863881,2.927272796,15.80909035,0.575916219,0.183077091
Sasaki 657,Panama,4999,93.5,17.21999931,7.800000191,6.050000191,1.75,6.892959805,5.429733086,11.98717919,2.207692165,2.846280788,15.45454497,0.775641031,0.227596425
Volharding 598,Norway,4000,85,13.39999962,7.699999809,5.5,2.199999809,6.1728,6.343283762,11.03896131,1.740259734,2.436363567,15.45454545,0.714285732,0.213765807
Volharding 601,Norway,4000,85,13.39999962,7.699999809,5.5,2.199999809,6.1728,6.343283762,11.03896131,1.740259734,2.436363567,15.45454545,0.714285732,0.213765807
Norden,Sweden,2800,75,13.25,6.199999809,5,1.199999809,6.018479902,5.660377358,12.09677457,2.13709684,2.65,15,0.806451638,0.221881799
Koroglu,Azerbaijan,13470,145,17.29999924,10.5,7.139999866,3.360000134,5.606959805,8.381503258,13.80952381,1.647618975,2.422969127,20.30812363,0.679999987,0.148665069
Krasnoye Sormovo 19619/5,Azerbaijan,13470,145,17.29999924,10.5,7.139999866,3.360000134,5.606959805,8.381503258,13.80952381,1.647618975,2.422969127,20.30812363,0.679999987,0.148665069
Asopos,Greece,12000,126,22,10.60000038,7.5,3.10000038,6.6872,5.727272727,11.88679203,2.075471624,2.933333333,16.8,0.707547144,0.190206142
Akadimos,Greece,12000,126,22,10.60000038,7.5,3.10000038,6.6872,5.727272727,11.88679203,2.075471624,2.933333333,16.8,0.707547144,0.190206142
Fs Salome,France,3900,76.09999847,15,8,5.900000095,2.099999905,5.9156,5.073333231,9.512499809,1.875,2.54237284,12.89830462,0.737500012,0.216507015
Besiktas Scotland,Turkey,18000,140,22.39999962,12.60000038,9.75,2.85000038,7.716,6.250000106,11.11111078,1.777777694,2.297435858,14.35897436,0.7738095,0.208206219
Hellespont Pride,Greece,73630,219.6999969,32.25999832,20.79999924,14.30000019,6.49999905,7.561679902,6.810291641,10.56250024,1.550961514,2.255943908,15.36363594,0.687500034,0.162880375
Hellespont Progress,Greece,73630,219.6999969,32.25999832,20.79999924,14.30000019,6.49999905,7.561679902,6.810291641,10.56250024,1.550961514,2.255943908,15.36363594,0.687500034,0.162880375
Hellespont Promise,Greece,73630,219.6999969,32.25999832,20.79999924,14.30000019,6.49999905,7.561679902,6.810291641,10.56250024,1.550961514,2.255943908,15.36363594,0.687500034,0.162880375
Histria Amber,Malta,41000,172,32.20000076,16.5,11,5.5,7.716,5.341614781,10.42424242,1.951515198,2.927272796,15.63636364,0.666666667,0.187842341
Stolt Zulu,Singapore,25197,149,25.60000038,15.19999981,10.35000038,4.84999943,7.767440195,5.820312414,9.802631701,1.684210572,2.473429898,14.39613474,0.680921086,0.203165649
Besiktas Greenland,Turkey,18000,140,22.39999962,12.60000038,9.75,2.85000038,7.716,6.250000106,11.11111078,1.777777694,2.297435858,14.35897436,0.7738095,0.208206219
Stx Chinhae 1219,Hong Kong,51000,173.8999939,32.20000076,19.10000038,13.13000011,5.97000027,7.304479902,5.400620801,9.104711541,1.685863881,2.452399123,13.24447772,0.687434547,0.176849979
Stx Chinhae 1220,Panama,51000,173.8999939,32.20000076,19.10000038,13.19999981,5.90000057,7.304479902,5.400620801,9.104711541,1.685863881,2.439394032,13.17424215,0.691099453,0.176849979
Constanta 571,Malta,41000,172,32.20000076,16.5,11,5.5,7.716,5.341614781,10.42424242,1.951515198,2.927272796,15.63636364,0.666666667,0.187842341
Anadolu 188,Turkey,8125,116.0400009,17.5,8.800000191,6.857999802,1.942000389,7.2016,6.630857194,13.18636345,1.98863632,2.551764436,16.92038557,0.779318142,0.213447283
Merope Star,Italy,3600,82.5,14.80000019,7.800000191,6.5,1.300000191,7.2016,5.574324253,10.57692282,1.897435875,2.276923106,12.69230769,0.833333313,0.25314393
Taygete Star,Italy,3600,82.5,14.80000019,7.800000191,6.5,1.300000191,7.2016,5.574324253,10.57692282,1.897435875,2.276923106,12.69230769,0.833333313,0.25314393
Stx Chinhae 2022,Panama,51000,173.8999939,32.20000076,19.10000038,13.19999981,5.90000057,7.304479902,5.400620801,9.104711541,1.685863881,2.439394032,13.17424215,0.691099453,0.176849979
Stx Chinhae 2023,Panama,51000,173.8999939,32.20000076,19.10000038,13.19999981,5.90000057,7.304479902,5.400620801,9.104711541,1.685863881,2.439394032,13.17424215,0.691099453,0.176849979
Marmara 72,Turkey,7000,111.5999985,16.89999962,8.399999619,6.75,1.649999619,7.2016,6.603550356,13.28571471,2.011904808,2.503703647,16.53333311,0.803571465,0.217651867
Fukuoka Fukuoka 1262,Panama,19900,136,24.20000076,12.89999962,9.5,3.39999962,7.4588,5.619834534,10.54263597,1.875969106,2.547368501,14.31578947,0.73643413,0.204204357
Asl Batam 801,Denmark,10000,129,18.79999924,10.80000019,7.800000191,2.999999999,7.2016,6.861702405,11.94444423,1.74074064,2.410256254,16.53846113,0.722222227,0.202441542
Shin-A 471,United Kingdom,37000,168,31,17.20000076,10.5,6.70000076,7.716,5.419354839,9.767441429,1.802325502,2.952380952,16,0.610465089,0.190065405
Begum K,Turkey,2000,71.98000336,10.60000038,5.099999905,4.400000095,0.69999981,5.9156,6.790566111,14.11372641,2.078431486,2.409090943,16.35909132,0.862745133,0.22261702
P.L.A. 4807,China,17000,142.6000061,23.29999924,12.60000038,9,3.60000038,6.6872,6.120172135,11.31746046,1.849206233,2.588888804,15.84444512,0.714285693,0.178792804
Zhejiang 05-135,China,5900,101.5,17.60000038,10.10000038,6.449999809,3.650000571,7.2016,5.76704533,10.04950457,1.742574229,2.72868231,15.73643457,0.638613818,0.228224083
Tuzla Gemi 31,Switzerland,7000,111.5999985,16.89999962,8.399999619,6.650000095,1.749999524,7.2016,6.603550356,13.28571471,2.011904808,2.54135329,16.78195442,0.791666714,0.217651867
Cap Aiguades,France,3500,86,13.80000019,6.449999809,5,1.449999809,6.1728,6.231883972,13.33333373,2.139534977,2.760000038,17.2,0.775193821,0.212519349
Minami-Nippon 689,Liberia,45700,171,32.49000168,18.79999924,12.10000038,6.69999886,7.4588,5.263157623,9.095745049,1.728191649,2.685124021,14.13223096,0.643617068,0.182111094
Minami-Nippon 690,Liberia,45700,171,32.49000168,18.79999924,12.10000038,6.69999886,7.4588,5.263157623,9.095745049,1.728191649,2.685124021,14.13223096,0.643617068,0.182111094
High Venture,Panama,45800,173.8999939,32.20000076,19.10000038,11,8.10000038,7.4588,5.400620801,9.104711541,1.685863881,2.927272796,15.80909035,0.575916219,0.180586248
Kurinoura 389,Panama,12000,116,20,11.19999981,8.75,2.44999981,6.9444,5.8,10.35714303,1.785714316,2.285714286,13.25714286,0.781250013,0.20585965
Anadolu 205,Turkey,8125,116.0400009,17.5,8.800000191,6.860000134,1.940000057,7.2016,6.630857194,13.18636345,1.98863632,2.551020358,16.9154517,0.779545453,0.213447283
Besiktas Finland,Turkey,10500,122.7699966,19.60000038,10.39999962,8.100000381,2.299999239,7.4588,6.263775215,11.8048078,1.88461549,2.41975302,15.15678899,0.778846219,0.214925693
Clipper Loyalty,Denmark,10048,112,19,10.10000038,8.220000267,1.880000113,7.4588,5.894736842,11.08910849,1.881188048,2.311435448,13.62530369,0.813861382,0.225022242
Usmed 01,Turkey,7000,111.5999985,16.89999962,8.399999619,6.650000095,1.749999524,7.4588,6.603550356,13.28571471,2.011904808,2.54135329,16.78195442,0.791666714,0.225425148
Anadolu 204,Turkey,8125,116.0400009,17.5,8.800000191,6.860000134,1.940000057,7.2016,6.630857194,13.18636345,1.98863632,2.551020358,16.9154517,0.779545453,0.213447283
Nakatani 606,Panama,3600,84,14.69999981,6.800000191,5.300000191,1.5,6.018479902,5.714285788,12.35294083,2.161764617,2.77358477,15.84905603,0.779411771,0.209658593
Nakatani 607,Panama,3600,84,14.69999981,6.800000191,5.300000191,1.5,6.018479902,5.714285788,12.35294083,2.161764617,2.77358477,15.84905603,0.779411771,0.209658593
Bow Sky,Singapore,40000,175.25,32.20000076,17.95000076,11.5,6.45000076,7.870320098,5.442546455,9.763230784,1.793871833,2.800000066,15.23913043,0.640668497,0.189814279
Bow Summer,Singapore,40000,175.1600037,32.20999908,17.95000076,11.5,6.45000076,7.870320098,5.438062984,9.758217063,1.794428842,2.800869485,15.23130467,0.640668497,0.189863035
Excelsior,Luxembourg,76500,266,43.40000153,26,12.30000019,13.69999981,9.825040195,6.129032042,10.23076923,1.669230828,3.528455354,21.62601593,0.47307693,0.192335306
Alaskan Explorer,United States,193049,274,50,28,18.75,9.25,7.870320098,5.48,9.785714286,1.785714286,2.666666667,14.61333333,0.669642857,0.151803789
Alaskan Navigator,United States,193048,274,50,28,18.75,9.25,7.870320098,5.48,9.785714286,1.785714286,2.666666667,14.61333333,0.669642857,0.151803789
Popi P.,Liberia,159966,264,48,23.70000076,16,7.70000076,7.767440195,5.5,11.13924015,2.025316391,3,16.5,0.675105464,0.152630544
Excellence,Luxembourg,69500,266,43.40000153,26,12.30000019,13.69999981,9.825040195,6.129032042,10.23076923,1.669230828,3.528455354,21.62601593,0.47307693,0.192335306
Neste,Finland,25117,160.3999939,23.78000069,14.89999962,10.89999962,4,7.4588,6.745163551,10.76510054,1.595973241,2.181651516,14.71559628,0.731543617,0.188032225
Seychelles Pioneer,Isle of Man,37500,175.1999969,28.0359993,16.79999924,11.69999981,5.09999943,7.767440195,6.249108335,10.42857172,1.668809558,2.396239295,14.97435895,0.696428592,0.18735978
LNG Pioneer,United Kingdom,76500,266,43.40000153,26.39999962,12.11999989,14.27999973,10.0308,6.129032042,10.07575772,1.643939476,3.580858245,21.94719492,0.459090912,0.196363267
Golar Viking,Norway,79950,267,43,26,12.10000038,13.89999962,10.18511961,6.209302326,10.26923077,1.653846154,3.553718897,22.06611501,0.46538463,0.199010504
Elka Delos,Liberia,44598,175,32,17.95000076,12,5.95000076,8.2304,5.46875,9.749303208,1.78272973,2.666666667,14.58333333,0.668523649,0.198640324
Puteri Mutiara Satu,Malaysia,76229,263,43.43199921,25.5,12.01000023,13.48999977,10.0308,6.055443101,10.31372549,1.703215655,3.616319599,21.89841757,0.470980401,0.197480034
LNG Adamawa,Bermuda,79566,274,48.06399918,26.5,12.30000019,14.19999981,10.13368039,5.700732454,10.33962264,1.813735818,3.907642149,22.27642242,0.464150951,0.195459785
LNG Cross River,Bermuda,79591,274,48.06399918,26.5,12.30000019,14.19999981,10.13368039,5.700732454,10.33962264,1.813735818,3.907642149,22.27642242,0.464150951,0.195459785
Ruby Star,Virgin Islands (British),46500,176.6999969,32.25999832,18.89999962,12.10000038,6.79999924,7.4588,5.477371547,9.349206373,1.706878252,2.66611548,14.60330507,0.640211673,0.179149742
Asphalt Seminole,Ireland,9240,99.90000153,18.60000038,10.60000038,8.340000153,2.260000227,6.892959805,5.370967714,9.424528108,1.754716954,2.230215832,11.97841723,0.786792439,0.220185388
