SHIP'S NAME,COUNTRY,DWT,LBP,B,D,d,Air_d,Vs,L/B,L/D,B/D,B/d,L/d,d/D,Fn
DELAWARE,U.S.A.,159000,264,48,23.1,16,7.1,8.1018,5.5,11.42857143,2.077922078,3,16.5,0.692640693,0.159200729
SCF URAL,U.K.,159000,264,48,23.1,16,7.1,8.07608,5.5,11.42857143,2.077922078,3,16.5,0.692640693,0.158695329
IRAN HORMOZ,IRAN,300000,320,58,31,21,10,8.12752,5.517241379,10.32258065,1.870967742,2.761904762,15.23809524,0.677419355,0.145060294
SKS SIRA,NORWAY,159000,264,48,23.1,16,7.1,8.1018,5.5,11.42857143,2.077922078,3,16.5,0.692640693,0.159200729
PISCES STAR,SAUDI ARABIA,317000,319,60,30.5,21.5,9,7.51024,5.316666667,10.45901639,1.967213115,2.790697674,14.8372093,0.704918033,0.134252991
AEGEAN FREEDOM,GREECE,105000,234,42,21,13.6,7.4,7.51024,5.571428571,11.14285714,2,3.088235294,17.20588235,0.647619048,0.156751384
DISCOVERY,GREECE,164000,264,50,23.1,16,7.1,7.9732,5.28,11.42857143,2.164502165,3.125,16.5,0.692640693,0.156673733
SCF VALDAI,LIBERIA,159000,264,48,23.1,16,7.1,8.07608,5.5,11.42857143,2.077922078,3,16.5,0.692640693,0.158695329
AEGEAN FAITH,GREECE,105000,234,42,21,13.6,7.4,7.51024,5.571428571,11.14285714,2,3.088235294,17.20588235,0.647619048,0.156751384
OVERSEAS ROSALYN,U.S.A.,318000,319,60,30.4,21,9.4,8.2304,5.316666667,10.49342105,1.973684211,2.857142857,15.19047619,0.690789474,0.147126566
SKS SINNI,NORWAY,159000,264,48,23.1,16,7.1,8.07608,5.5,11.42857143,2.077922078,3,16.5,0.692640693,0.158695329
ARIES STAR,SAUDI ARABIA,317000,319,60,30.5,21.5,9,7.51024,5.316666667,10.45901639,1.967213115,2.790697674,14.8372093,0.704918033,0.134252991
