	(Ângulo de Ataque)			  (Coef. de Lift)			  (Coef. de Drag)


  -2.0000000000000000e+01	  -3.0789999999999973e-01	   2.6300000000000000e-02	
  -1.9899999999999999e+01	  -3.2357935979999997e-01	   2.6182220299999996e-02	
  -1.9800000000000001e+01	  -3.3893887679999957e-01	   2.6064882399999999e-02	
  -1.9699999999999999e+01	  -3.5398070379999969e-01	   2.5947988099999996e-02	
  -1.9600000000000001e+01	  -3.6870698879999930e-01	   2.5831539200000003e-02	
  -1.9500000000000000e+01	  -3.8311987499999989e-01	   2.5715537499999996e-02	
  -1.9399999999999999e+01	  -3.9722150080000029e-01	   2.5599984799999996e-02	
  -1.9300000000000001e+01	  -4.1101399979999986e-01	   2.5484882899999999e-02	
  -1.9199999999999999e+01	  -4.2449950080000021e-01	   2.5370233599999997e-02	
  -1.9100000000000001e+01	  -4.3768012779999987e-01	   2.5256038700000004e-02	
  -1.9000000000000000e+01	  -4.5055799999999968e-01	   2.5142299999999999e-02	
  -1.8899999999999999e+01	  -4.6313523180000005e-01	   2.5029019299999997e-02	
  -1.8800000000000001e+01	  -4.7541393279999988e-01	   2.4916198399999999e-02	
  -1.8699999999999999e+01	  -4.8739620779999970e-01	   2.4803839099999999e-02	
  -1.8600000000000001e+01	  -4.9908415679999962e-01	   2.4691943199999997e-02	
  -1.8500000000000000e+01	  -5.1047987499999958e-01	   2.4580512499999999e-02	
  -1.8399999999999999e+01	  -5.2158545279999979e-01	   2.4469548799999997e-02	
  -1.8300000000000001e+01	  -5.3240297579999984e-01	   2.4359053900000000e-02	
  -1.8199999999999999e+01	  -5.4293452480000004e-01	   2.4249029599999999e-02	
  -1.8100000000000001e+01	  -5.5318217579999984e-01	   2.4139477700000002e-02	
  -1.8000000000000000e+01	  -5.6314800000000009e-01	   2.4030400000000000e-02	
  -1.7899999999999999e+01	  -5.7283406380000013e-01	   2.3921798299999998e-02	
  -1.7800000000000001e+01	  -5.8224242879999977e-01	   2.3813674399999998e-02	
  -1.7699999999999999e+01	  -5.9137515180000000e-01	   2.3706030099999997e-02	
  -1.7600000000000001e+01	  -6.0023428479999963e-01	   2.3598867199999998e-02	
  -1.7500000000000000e+01	  -6.0882187499999973e-01	   2.3492187499999997e-02	
  -1.7399999999999999e+01	  -6.1713996479999988e-01	   2.3385992799999998e-02	
  -1.7300000000000001e+01	  -6.2519059179999970e-01	   2.3280284899999996e-02	
  -1.7199999999999999e+01	  -6.3297578879999949e-01	   2.3175065599999996e-02	
  -1.7100000000000001e+01	  -6.4049758380000010e-01	   2.3070336699999999e-02	
  -1.7000000000000000e+01	  -6.4775799999999972e-01	   2.2966099999999996e-02	
  -1.6899999999999999e+01	  -6.5475905579999993e-01	   2.2862357299999997e-02	
  -1.6800000000000001e+01	  -6.6150276479999992e-01	   2.2759110399999997e-02	
  -1.6699999999999999e+01	  -6.6799113579999980e-01	   2.2656361099999998e-02	
  -1.6600000000000001e+01	  -6.7422617279999975e-01	   2.2554111200000001e-02	
  -1.6500000000000000e+01	  -6.8020987499999974e-01	   2.2452362499999996e-02	
  -1.6399999999999999e+01	  -6.8594423680000005e-01	   2.2351116799999998e-02	
  -1.6300000000000001e+01	  -6.9143124779999987e-01	   2.2250375900000001e-02	
  -1.6199999999999999e+01	  -6.9667289280000000e-01	   2.2150141599999999e-02	
  -1.6100000000000001e+01	  -7.0167115179999995e-01	   2.2050415699999999e-02	
  -1.6000000000000000e+01	  -7.0642799999999994e-01	   2.1951199999999997e-02	
  -1.5899999999999999e+01	  -7.1094540779999982e-01	   2.1852496299999996e-02	
  -1.5800000000000001e+01	  -7.1522534079999989e-01	   2.1754306399999999e-02	
  -1.5699999999999999e+01	  -7.1926975980000007e-01	   2.1656632099999996e-02	
  -1.5600000000000000e+01	  -7.2308062079999991e-01	   2.1559475199999997e-02	
